Term	Term_Type	Gene_count	Gene_list
GO:0000313~organellar ribosome	GOTERM_FAT_CC	98	
GO:0000314~organellar small ribosomal subunit	GOTERM_FAT_CC	35	
GO:0000315~organellar large ribosomal subunit	GOTERM_FAT_CC	62	
GO:0000322~storage vacuole	GOTERM_FAT_CC	4	
GO:0000323~lytic vacuole	GOTERM_FAT_CC	566	
GO:0000333~telomerase catalytic core complex	GOTERM_FAT_CC	1	
GO:0000346~transcription export complex	GOTERM_FAT_CC	14	
GO:0000347~THO complex	GOTERM_FAT_CC	7	
GO:0000407~pre-autophagosomal structure	GOTERM_FAT_CC	37	
GO:0000408~EKC/KEOPS complex	GOTERM_FAT_CC	11	
GO:0000417~HIR complex	GOTERM_FAT_CC	1	
GO:0000421~autophagosome membrane	GOTERM_FAT_CC	51	
GO:0000428~DNA-directed RNA polymerase complex	GOTERM_FAT_CC	146	
GO:0000438~core TFIIH complex portion of holo TFIIH complex	GOTERM_FAT_CC	3	
GO:0000439~core TFIIH complex	GOTERM_FAT_CC	10	
GO:0000444~MIS12/MIND type complex	GOTERM_FAT_CC	4	
GO:0000445~THO complex part of transcription export complex	GOTERM_FAT_CC	7	
GO:0000502~proteasome complex	GOTERM_FAT_CC	68	
GO:0000506~glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	GOTERM_FAT_CC	8	
GO:0000775~chromosome, centromeric region	GOTERM_FAT_CC	242	
GO:0000776~kinetochore	GOTERM_FAT_CC	162	
GO:0000777~condensed chromosome kinetochore	GOTERM_FAT_CC	24	
GO:0000778~condensed nuclear chromosome kinetochore	GOTERM_FAT_CC	3	
GO:0000779~condensed chromosome, centromeric region	GOTERM_FAT_CC	43	
GO:0000780~condensed nuclear chromosome, centromeric region	GOTERM_FAT_CC	3	
GO:0000781~chromosome, telomeric region	GOTERM_FAT_CC	127	
GO:0000782~telomere cap complex	GOTERM_FAT_CC	11	
GO:0000783~nuclear telomere cap complex	GOTERM_FAT_CC	11	
GO:0000784~nuclear chromosome, telomeric region	GOTERM_FAT_CC	11	
GO:0000785~chromatin	GOTERM_FAT_CC	697	
GO:0000786~nucleosome	GOTERM_FAT_CC	145	
GO:0000790~nuclear chromatin	GOTERM_FAT_CC	72	
GO:0000791~euchromatin	GOTERM_FAT_CC	72	
GO:0000792~heterochromatin	GOTERM_FAT_CC	105	
GO:0000793~condensed chromosome	GOTERM_FAT_CC	234	
GO:0000794~condensed nuclear chromosome	GOTERM_FAT_CC	171	
GO:0000795~synaptonemal complex	GOTERM_FAT_CC	124	
GO:0000796~condensin complex	GOTERM_FAT_CC	8	
GO:0000798~nuclear cohesin complex	GOTERM_FAT_CC	8	
GO:0000800~lateral element	GOTERM_FAT_CC	20	
GO:0000801~central element	GOTERM_FAT_CC	8	
GO:0000802~transverse filament	GOTERM_FAT_CC	3	
GO:0000803~sex chromosome	GOTERM_FAT_CC	42	
GO:0000805~X chromosome	GOTERM_FAT_CC	11	
GO:0000806~Y chromosome	GOTERM_FAT_CC	2	
GO:0000808~origin recognition complex	GOTERM_FAT_CC	8	
GO:0000811~GINS complex	GOTERM_FAT_CC	4	
GO:0000812~Swr1 complex	GOTERM_FAT_CC	14	
GO:0000813~ESCRT I complex	GOTERM_FAT_CC	11	
GO:0000814~ESCRT II complex	GOTERM_FAT_CC	3	
GO:0000815~ESCRT III complex	GOTERM_FAT_CC	10	
GO:0000818~nuclear MIS12/MIND complex	GOTERM_FAT_CC	3	
GO:0000835~ER ubiquitin ligase complex	GOTERM_FAT_CC	8	
GO:0000836~Hrd1p ubiquitin ligase complex	GOTERM_FAT_CC	8	
GO:0000839~Hrd1p ubiquitin ligase ERAD-L complex	GOTERM_FAT_CC	8	
GO:0000922~spindle pole	GOTERM_FAT_CC	175	
GO:0000923~equatorial microtubule organizing center	GOTERM_FAT_CC	5	
GO:0000930~gamma-tubulin complex	GOTERM_FAT_CC	16	
GO:0000931~gamma-tubulin large complex	GOTERM_FAT_CC	6	
GO:0000932~P-body	GOTERM_FAT_CC	96	
GO:0000938~GARP complex	GOTERM_FAT_CC	5	
GO:0000939~condensed chromosome inner kinetochore	GOTERM_FAT_CC	7	
GO:0000940~condensed chromosome outer kinetochore	GOTERM_FAT_CC	14	
GO:0000974~Prp19 complex	GOTERM_FAT_CC	23	
GO:0001401~mitochondrial sorting and assembly machinery complex	GOTERM_FAT_CC	5	
GO:0001405~presequence translocase-associated import motor	GOTERM_FAT_CC	6	
GO:0001518~voltage-gated sodium channel complex	GOTERM_FAT_CC	17	
GO:0001520~outer dense fiber	GOTERM_FAT_CC	11	
GO:0001527~microfibril	GOTERM_FAT_CC	13	
GO:0001533~cornified envelope	GOTERM_FAT_CC	65	
GO:0001534~radial spoke	GOTERM_FAT_CC	4	
GO:0001535~radial spoke head	GOTERM_FAT_CC	1	
GO:0001650~fibrillar center	GOTERM_FAT_CC	150	
GO:0001651~dense fibrillar component	GOTERM_FAT_CC	7	
GO:0001652~granular component	GOTERM_FAT_CC	9	
GO:0001669~acrosomal vesicle	GOTERM_FAT_CC	177	
GO:0001673~male germ cell nucleus	GOTERM_FAT_CC	86	
GO:0001674~female germ cell nucleus	GOTERM_FAT_CC	26	
GO:0001725~stress fiber	GOTERM_FAT_CC	90	
GO:0001726~ruffle	GOTERM_FAT_CC	194	
GO:0001739~sex chromatin	GOTERM_FAT_CC	6	
GO:0001740~Barr body	GOTERM_FAT_CC	6	
GO:0001741~XY body	GOTERM_FAT_CC	23	
GO:0001750~photoreceptor outer segment	GOTERM_FAT_CC	92	
GO:0001772~immunological synapse	GOTERM_FAT_CC	48	
GO:0001891~phagocytic cup	GOTERM_FAT_CC	30	
GO:0001917~photoreceptor inner segment	GOTERM_FAT_CC	72	
GO:0001931~uropod	GOTERM_FAT_CC	13	
GO:0001939~female pronucleus	GOTERM_FAT_CC	10	
GO:0001940~male pronucleus	GOTERM_FAT_CC	8	
GO:0002079~inner acrosomal membrane	GOTERM_FAT_CC	6	
GO:0002080~acrosomal membrane	GOTERM_FAT_CC	39	
GO:0002081~outer acrosomal membrane	GOTERM_FAT_CC	7	
GO:0002095~caveolar macromolecular signaling complex	GOTERM_FAT_CC	3	
GO:0002096~polkadots	GOTERM_FAT_CC	2	
GO:0002102~podosome	GOTERM_FAT_CC	35	
GO:0002111~BRCA2-BRAF35 complex	GOTERM_FAT_CC	1	
GO:0002116~semaphorin receptor complex	GOTERM_FAT_CC	9	
GO:0002133~polycystin complex	GOTERM_FAT_CC	2	
GO:0002139~stereocilia coupling link	GOTERM_FAT_CC	7	
GO:0002140~stereocilia tip link	GOTERM_FAT_CC	2	
GO:0002141~stereocilia ankle link	GOTERM_FAT_CC	6	
GO:0002142~stereocilia ankle link complex	GOTERM_FAT_CC	6	
GO:0002144~cytosolic tRNA wobble base thiouridylase complex	GOTERM_FAT_CC	1	
GO:0002169~3-methylcrotonyl-CoA carboxylase complex, mitochondrial	GOTERM_FAT_CC	2	
GO:0002177~manchette	GOTERM_FAT_CC	20	
GO:0002178~palmitoyltransferase complex	GOTERM_FAT_CC	13	
GO:0002189~ribose phosphate diphosphokinase complex	GOTERM_FAT_CC	6	
GO:0002193~MAML1-RBP-Jkappa- ICN1 complex	GOTERM_FAT_CC	3	
GO:0002199~zona pellucida receptor complex	GOTERM_FAT_CC	11	
GO:0002944~cyclin K-CDK12 complex	GOTERM_FAT_CC	2	
GO:0002945~cyclin K-CDK13 complex	GOTERM_FAT_CC	2	
GO:0002947~tumor necrosis factor receptor superfamily complex	GOTERM_FAT_CC	2	
GO:0005576~extracellular region	GOTERM_FAT_CC	2972	
GO:0005577~fibrinogen complex	GOTERM_FAT_CC	6	
GO:0005578~proteinaceous extracellular matrix	GOTERM_FAT_CC	152	
GO:0005579~membrane attack complex	GOTERM_FAT_CC	8	
GO:0005581~collagen trimer	GOTERM_FAT_CC	86	
GO:0005583~fibrillar collagen trimer	GOTERM_FAT_CC	12	
GO:0005584~collagen type I trimer	GOTERM_FAT_CC	2	
GO:0005585~collagen type II trimer	GOTERM_FAT_CC	1	
GO:0005586~collagen type III trimer	GOTERM_FAT_CC	1	
GO:0005587~collagen type IV trimer	GOTERM_FAT_CC	7	
GO:0005588~collagen type V trimer	GOTERM_FAT_CC	4	
GO:0005589~collagen type VI trimer	GOTERM_FAT_CC	1	
GO:0005592~collagen type XI trimer	GOTERM_FAT_CC	5	
GO:0005593~FACIT collagen trimer	GOTERM_FAT_CC	4	
GO:0005594~collagen type IX trimer	GOTERM_FAT_CC	3	
GO:0005595~collagen type XII trimer	GOTERM_FAT_CC	1	
GO:0005598~short-chain collagen trimer	GOTERM_FAT_CC	1	
GO:0005599~collagen type X trimer	GOTERM_FAT_CC	1	
GO:0005601~classical-complement-pathway C3/C5 convertase complex	GOTERM_FAT_CC	3	
GO:0005602~complement component C1 complex	GOTERM_FAT_CC	7	
GO:0005604~basement membrane	GOTERM_FAT_CC	121	
GO:0005605~basal lamina	GOTERM_FAT_CC	12	
GO:0005606~laminin-1 complex	GOTERM_FAT_CC	3	
GO:0005607~laminin-2 complex	GOTERM_FAT_CC	2	
GO:0005608~laminin-3 complex	GOTERM_FAT_CC	3	
GO:0005610~laminin-5 complex	GOTERM_FAT_CC	4	
GO:0005614~interstitial matrix	GOTERM_FAT_CC	17	
GO:0005615~extracellular space	GOTERM_FAT_CC	2054	
GO:0005635~nuclear envelope	GOTERM_FAT_CC	501	
GO:0005637~nuclear inner membrane	GOTERM_FAT_CC	61	
GO:0005638~lamin filament	GOTERM_FAT_CC	6	
GO:0005639~integral component of nuclear inner membrane	GOTERM_FAT_CC	14	
GO:0005640~nuclear outer membrane	GOTERM_FAT_CC	33	
GO:0005641~nuclear envelope lumen	GOTERM_FAT_CC	13	
GO:0005642~annulate lamellae	GOTERM_FAT_CC	7	
GO:0005643~nuclear pore	GOTERM_FAT_CC	84	
GO:0005652~nuclear lamina	GOTERM_FAT_CC	16	
GO:0005654~nucleoplasm	GOTERM_FAT_CC	3910	
GO:0005655~nucleolar ribonuclease P complex	GOTERM_FAT_CC	7	
GO:0005656~nuclear pre-replicative complex	GOTERM_FAT_CC	2	
GO:0005657~replication fork	GOTERM_FAT_CC	75	
GO:0005658~alpha DNA polymerase:primase complex	GOTERM_FAT_CC	4	
GO:0005662~DNA replication factor A complex	GOTERM_FAT_CC	13	
GO:0005663~DNA replication factor C complex	GOTERM_FAT_CC	5	
GO:0005664~nuclear origin of replication recognition complex	GOTERM_FAT_CC	8	
GO:0005665~DNA-directed RNA polymerase II, core complex	GOTERM_FAT_CC	14	
GO:0005666~DNA-directed RNA polymerase III complex	GOTERM_FAT_CC	18	
GO:0005667~transcription factor complex	GOTERM_FAT_CC	482	
GO:0005668~RNA polymerase transcription factor SL1 complex	GOTERM_FAT_CC	5	
GO:0005669~transcription factor TFIID complex	GOTERM_FAT_CC	32	
GO:0005671~Ada2/Gcn5/Ada3 transcription activator complex	GOTERM_FAT_CC	14	
GO:0005672~transcription factor TFIIA complex	GOTERM_FAT_CC	5	
GO:0005673~transcription factor TFIIE complex	GOTERM_FAT_CC	2	
GO:0005674~transcription factor TFIIF complex	GOTERM_FAT_CC	2	
GO:0005675~holo TFIIH complex	GOTERM_FAT_CC	12	
GO:0005677~chromatin silencing complex	GOTERM_FAT_CC	13	
GO:0005680~anaphase-promoting complex	GOTERM_FAT_CC	25	
GO:0005681~spliceosomal complex	GOTERM_FAT_CC	218	
GO:0005682~U5 snRNP	GOTERM_FAT_CC	15	
GO:0005683~U7 snRNP	GOTERM_FAT_CC	7	
GO:0005684~U2-type spliceosomal complex	GOTERM_FAT_CC	96	
GO:0005685~U1 snRNP	GOTERM_FAT_CC	19	
GO:0005686~U2 snRNP	GOTERM_FAT_CC	21	
GO:0005687~U4 snRNP	GOTERM_FAT_CC	10	
GO:0005688~U6 snRNP	GOTERM_FAT_CC	8	
GO:0005689~U12-type spliceosomal complex	GOTERM_FAT_CC	27	
GO:0005690~U4atac snRNP	GOTERM_FAT_CC	2	
GO:0005691~U6atac snRNP	GOTERM_FAT_CC	1	
GO:0005694~chromosome	GOTERM_FAT_CC	1373	
GO:0005697~telomerase holoenzyme complex	GOTERM_FAT_CC	21	
GO:0005700~polytene chromosome	GOTERM_FAT_CC	1	
GO:0005712~chiasma	GOTERM_FAT_CC	2	
GO:0005713~recombination nodule	GOTERM_FAT_CC	2	
GO:0005715~late recombination nodule	GOTERM_FAT_CC	1	
GO:0005720~nuclear heterochromatin	GOTERM_FAT_CC	6	
GO:0005721~pericentric heterochromatin	GOTERM_FAT_CC	31	
GO:0005726~perichromatin fibrils	GOTERM_FAT_CC	8	
GO:0005730~nucleolus	GOTERM_FAT_CC	1004	
GO:0005731~nucleolus organizer region	GOTERM_FAT_CC	1	
GO:0005732~small nucleolar ribonucleoprotein complex	GOTERM_FAT_CC	30	
GO:0005736~DNA-directed RNA polymerase I complex	GOTERM_FAT_CC	13	
GO:0005739~mitochondrion	GOTERM_FAT_CC	1981	
GO:0005740~mitochondrial envelope	GOTERM_FAT_CC	846	
GO:0005741~mitochondrial outer membrane	GOTERM_FAT_CC	195	
GO:0005742~mitochondrial outer membrane translocase complex	GOTERM_FAT_CC	9	
GO:0005743~mitochondrial inner membrane	GOTERM_FAT_CC	551	
GO:0005744~mitochondrial inner membrane presequence translocase complex	GOTERM_FAT_CC	12	
GO:0005745~m-AAA complex	GOTERM_FAT_CC	3	
GO:0005746~mitochondrial respiratory chain	GOTERM_FAT_CC	90	
GO:0005747~mitochondrial respiratory chain complex I	GOTERM_FAT_CC	51	
GO:0005749~mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	GOTERM_FAT_CC	4	
GO:0005750~mitochondrial respiratory chain complex III	GOTERM_FAT_CC	12	
GO:0005751~mitochondrial respiratory chain complex IV	GOTERM_FAT_CC	24	
GO:0005753~mitochondrial proton-transporting ATP synthase complex	GOTERM_FAT_CC	21	
GO:0005754~mitochondrial proton-transporting ATP synthase, catalytic core	GOTERM_FAT_CC	1	
GO:0005757~mitochondrial permeability transition pore complex	GOTERM_FAT_CC	7	
GO:0005758~mitochondrial intermembrane space	GOTERM_FAT_CC	103	
GO:0005759~mitochondrial matrix	GOTERM_FAT_CC	366	
GO:0005760~gamma DNA polymerase complex	GOTERM_FAT_CC	3	
GO:0005761~mitochondrial ribosome	GOTERM_FAT_CC	98	
GO:0005762~mitochondrial large ribosomal subunit	GOTERM_FAT_CC	62	
GO:0005763~mitochondrial small ribosomal subunit	GOTERM_FAT_CC	35	
GO:0005764~lysosome	GOTERM_FAT_CC	566	
GO:0005765~lysosomal membrane	GOTERM_FAT_CC	276	
GO:0005766~primary lysosome	GOTERM_FAT_CC	21	
GO:0005767~secondary lysosome	GOTERM_FAT_CC	18	
GO:0005768~endosome	GOTERM_FAT_CC	998	
GO:0005769~early endosome	GOTERM_FAT_CC	427	
GO:0005770~late endosome	GOTERM_FAT_CC	297	
GO:0005771~multivesicular body	GOTERM_FAT_CC	74	
GO:0005773~vacuole	GOTERM_FAT_CC	672	
GO:0005774~vacuolar membrane	GOTERM_FAT_CC	338	
GO:0005775~vacuolar lumen	GOTERM_FAT_CC	26	
GO:0005776~autophagosome	GOTERM_FAT_CC	112	
GO:0005777~peroxisome	GOTERM_FAT_CC	152	
GO:0005778~peroxisomal membrane	GOTERM_FAT_CC	59	
GO:0005779~integral component of peroxisomal membrane	GOTERM_FAT_CC	17	
GO:0005782~peroxisomal matrix	GOTERM_FAT_CC	28	
GO:0005783~endoplasmic reticulum	GOTERM_FAT_CC	1902	
GO:0005784~Sec61 translocon complex	GOTERM_FAT_CC	6	
GO:0005785~signal recognition particle receptor complex	GOTERM_FAT_CC	3	
GO:0005786~signal recognition particle, endoplasmic reticulum targeting	GOTERM_FAT_CC	8	
GO:0005787~signal peptidase complex	GOTERM_FAT_CC	7	
GO:0005788~endoplasmic reticulum lumen	GOTERM_FAT_CC	124	
GO:0005789~endoplasmic reticulum membrane	GOTERM_FAT_CC	1064	
GO:0005790~smooth endoplasmic reticulum	GOTERM_FAT_CC	38	
GO:0005791~rough endoplasmic reticulum	GOTERM_FAT_CC	110	
GO:0005793~endoplasmic reticulum-Golgi intermediate compartment	GOTERM_FAT_CC	110	
GO:0005794~Golgi apparatus	GOTERM_FAT_CC	1598	
GO:0005795~Golgi stack	GOTERM_FAT_CC	151	
GO:0005796~Golgi lumen	GOTERM_FAT_CC	24	
GO:0005797~Golgi medial cisterna	GOTERM_FAT_CC	26	
GO:0005798~Golgi-associated vesicle	GOTERM_FAT_CC	96	
GO:0005801~cis-Golgi network	GOTERM_FAT_CC	74	
GO:0005802~trans-Golgi network	GOTERM_FAT_CC	253	
GO:0005811~lipid particle	GOTERM_FAT_CC	110	
GO:0005813~centrosome	GOTERM_FAT_CC	695	
GO:0005814~centriole	GOTERM_FAT_CC	157	
GO:0005815~microtubule organizing center	GOTERM_FAT_CC	852	
GO:0005818~aster	GOTERM_FAT_CC	12	
GO:0005819~spindle	GOTERM_FAT_CC	432	
GO:0005826~actomyosin contractile ring	GOTERM_FAT_CC	7	
GO:0005827~polar microtubule	GOTERM_FAT_CC	5	
GO:0005828~kinetochore microtubule	GOTERM_FAT_CC	17	
GO:0005829~cytosol	GOTERM_FAT_CC	4302	
GO:0005831~steroid hormone aporeceptor complex	GOTERM_FAT_CC	1	
GO:0005832~chaperonin-containing T-complex	GOTERM_FAT_CC	10	
GO:0005833~hemoglobin complex	GOTERM_FAT_CC	13	
GO:0005834~heterotrimeric G-protein complex	GOTERM_FAT_CC	36	
GO:0005838~proteasome regulatory particle	GOTERM_FAT_CC	24	
GO:0005839~proteasome core complex	GOTERM_FAT_CC	19	
GO:0005840~ribosome	GOTERM_FAT_CC	257	
GO:0005844~polysome	GOTERM_FAT_CC	79	
GO:0005845~mRNA cap binding complex	GOTERM_FAT_CC	13	
GO:0005846~nuclear cap binding complex	GOTERM_FAT_CC	3	
GO:0005847~mRNA cleavage and polyadenylation specificity factor complex	GOTERM_FAT_CC	18	
GO:0005848~mRNA cleavage stimulating factor complex	GOTERM_FAT_CC	1	
GO:0005849~mRNA cleavage factor complex	GOTERM_FAT_CC	22	
GO:0005850~eukaryotic translation initiation factor 2 complex	GOTERM_FAT_CC	6	
GO:0005851~eukaryotic translation initiation factor 2B complex	GOTERM_FAT_CC	6	
GO:0005852~eukaryotic translation initiation factor 3 complex	GOTERM_FAT_CC	16	
GO:0005853~eukaryotic translation elongation factor 1 complex	GOTERM_FAT_CC	3	
GO:0005854~nascent polypeptide-associated complex	GOTERM_FAT_CC	3	
GO:0005858~axonemal dynein complex	GOTERM_FAT_CC	28	
GO:0005859~muscle myosin complex	GOTERM_FAT_CC	9	
GO:0005861~troponin complex	GOTERM_FAT_CC	8	
GO:0005862~muscle thin filament tropomyosin	GOTERM_FAT_CC	2	
GO:0005863~striated muscle myosin thick filament	GOTERM_FAT_CC	3	
GO:0005865~striated muscle thin filament	GOTERM_FAT_CC	23	
GO:0005868~cytoplasmic dynein complex	GOTERM_FAT_CC	27	
GO:0005869~dynactin complex	GOTERM_FAT_CC	16	
GO:0005871~kinesin complex	GOTERM_FAT_CC	52	
GO:0005873~plus-end kinesin complex	GOTERM_FAT_CC	1	
GO:0005874~microtubule	GOTERM_FAT_CC	461	
GO:0005875~microtubule associated complex	GOTERM_FAT_CC	158	
GO:0005876~spindle microtubule	GOTERM_FAT_CC	79	
GO:0005879~axonemal microtubule	GOTERM_FAT_CC	9	
GO:0005880~nuclear microtubule	GOTERM_FAT_CC	2	
GO:0005881~cytoplasmic microtubule	GOTERM_FAT_CC	76	
GO:0005882~intermediate filament	GOTERM_FAT_CC	216	
GO:0005883~neurofilament	GOTERM_FAT_CC	12	
GO:0005884~actin filament	GOTERM_FAT_CC	135	
GO:0005885~Arp2/3 protein complex	GOTERM_FAT_CC	9	
GO:0005887~integral component of plasma membrane	GOTERM_FAT_CC	1758	
GO:0005890~sodium:potassium-exchanging ATPase complex	GOTERM_FAT_CC	12	
GO:0005891~voltage-gated calcium channel complex	GOTERM_FAT_CC	47	
GO:0005892~acetylcholine-gated channel complex	GOTERM_FAT_CC	17	
GO:0005895~interleukin-5 receptor complex	GOTERM_FAT_CC	1	
GO:0005896~interleukin-6 receptor complex	GOTERM_FAT_CC	3	
GO:0005899~insulin receptor complex	GOTERM_FAT_CC	5	
GO:0005900~oncostatin-M receptor complex	GOTERM_FAT_CC	2	
GO:0005901~caveola	GOTERM_FAT_CC	105	
GO:0005902~microvillus	GOTERM_FAT_CC	115	
GO:0005903~brush border	GOTERM_FAT_CC	149	
GO:0005905~clathrin-coated pit	GOTERM_FAT_CC	71	
GO:0005911~cell-cell junction	GOTERM_FAT_CC	467	
GO:0005912~adherens junction	GOTERM_FAT_CC	349	
GO:0005913~cell-cell adherens junction	GOTERM_FAT_CC	25	
GO:0005914~spot adherens junction	GOTERM_FAT_CC	3	
GO:0005915~zonula adherens	GOTERM_FAT_CC	7	
GO:0005916~fascia adherens	GOTERM_FAT_CC	13	
GO:0005918~septate junction	GOTERM_FAT_CC	2	
GO:0005921~gap junction	GOTERM_FAT_CC	33	
GO:0005922~connexin complex	GOTERM_FAT_CC	20	
GO:0005923~bicellular tight junction	GOTERM_FAT_CC	147	
GO:0005924~cell-substrate adherens junction	GOTERM_FAT_CC	204	
GO:0005925~focal adhesion	GOTERM_FAT_CC	198	
GO:0005927~muscle tendon junction	GOTERM_FAT_CC	6	
GO:0005929~cilium	GOTERM_FAT_CC	751	
GO:0005930~axoneme	GOTERM_FAT_CC	149	
GO:0005938~cell cortex	GOTERM_FAT_CC	353	
GO:0005940~septin ring	GOTERM_FAT_CC	14	
GO:0005942~phosphatidylinositol 3-kinase complex	GOTERM_FAT_CC	31	
GO:0005943~phosphatidylinositol 3-kinase complex, class IA	GOTERM_FAT_CC	6	
GO:0005944~phosphatidylinositol 3-kinase complex, class IB	GOTERM_FAT_CC	4	
GO:0005945~6-phosphofructokinase complex	GOTERM_FAT_CC	3	
GO:0005947~mitochondrial alpha-ketoglutarate dehydrogenase complex	GOTERM_FAT_CC	6	
GO:0005948~acetolactate synthase complex	GOTERM_FAT_CC	1	
GO:0005952~cAMP-dependent protein kinase complex	GOTERM_FAT_CC	9	
GO:0005953~CAAX-protein geranylgeranyltransferase complex	GOTERM_FAT_CC	2	
GO:0005954~calcium- and calmodulin-dependent protein kinase complex	GOTERM_FAT_CC	5	
GO:0005955~calcineurin complex	GOTERM_FAT_CC	7	
GO:0005956~protein kinase CK2 complex	GOTERM_FAT_CC	3	
GO:0005958~DNA-dependent protein kinase-DNA ligase 4 complex	GOTERM_FAT_CC	3	
GO:0005960~glycine cleavage complex	GOTERM_FAT_CC	2	
GO:0005962~mitochondrial isocitrate dehydrogenase complex (NAD+)	GOTERM_FAT_CC	3	
GO:0005964~phosphorylase kinase complex	GOTERM_FAT_CC	5	
GO:0005965~protein farnesyltransferase complex	GOTERM_FAT_CC	2	
GO:0005967~mitochondrial pyruvate dehydrogenase complex	GOTERM_FAT_CC	7	
GO:0005968~Rab-protein geranylgeranyltransferase complex	GOTERM_FAT_CC	4	
GO:0005969~serine-pyruvate aminotransferase complex	GOTERM_FAT_CC	1	
GO:0005971~ribonucleoside-diphosphate reductase complex	GOTERM_FAT_CC	2	
GO:0008021~synaptic vesicle	GOTERM_FAT_CC	260	
GO:0008023~transcription elongation factor complex	GOTERM_FAT_CC	54	
GO:0008024~cyclin/CDK positive transcription elongation factor complex	GOTERM_FAT_CC	9	
GO:0008043~intracellular ferritin complex	GOTERM_FAT_CC	2	
GO:0008074~guanylate cyclase complex, soluble	GOTERM_FAT_CC	4	
GO:0008076~voltage-gated potassium channel complex	GOTERM_FAT_CC	77	
GO:0008091~spectrin	GOTERM_FAT_CC	6	
GO:0008180~COP9 signalosome	GOTERM_FAT_CC	35	
GO:0008247~1-alkyl-2-acetylglycerophosphocholine esterase complex	GOTERM_FAT_CC	3	
GO:0008250~oligosaccharyltransferase complex	GOTERM_FAT_CC	14	
GO:0008275~gamma-tubulin small complex	GOTERM_FAT_CC	3	
GO:0008278~cohesin complex	GOTERM_FAT_CC	10	
GO:0008282~ATP-sensitive potassium channel complex	GOTERM_FAT_CC	4	
GO:0008287~protein serine/threonine phosphatase complex	GOTERM_FAT_CC	57	
GO:0008290~F-actin capping protein complex	GOTERM_FAT_CC	9	
GO:0008303~caspase complex	GOTERM_FAT_CC	7	
GO:0008305~integrin complex	GOTERM_FAT_CC	34	
GO:0008328~ionotropic glutamate receptor complex	GOTERM_FAT_CC	44	
GO:0008352~katanin complex	GOTERM_FAT_CC	1	
GO:0008385~IkappaB kinase complex	GOTERM_FAT_CC	7	
GO:0008537~proteasome activator complex	GOTERM_FAT_CC	4	
GO:0008540~proteasome regulatory particle, base subcomplex	GOTERM_FAT_CC	13	
